Symbol,Description,ISIN,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Exchange
AXISBANK,Axis Bank Limited,INE238A01034,1261.8,INR,-0.8018867924528338,5694891,0.6865089181626293,3895428356445,INR,14.188687731923984,88.93,INR,-0.6146624944121559,0.0798722044728434,Finance,NSE
HCLTECH,HCL Technologies Limited,INE860A01027,1356.2,INR,-0.4331546876147026,81884,0.14793878654205825,3696283083455,INR,21.09943587557525,64.2766,INR,2.694679661287743,4.40496292489538,Technology services,BSE
HCLTECH,HCL Technologies Limited,INE860A01027,1369.9,INR,-0.5156136528685482,3013543,0.8837286311762285,3696283083455,INR,21.312577205390454,64.2766,INR,2.694679661287743,4.40496292489538,Technology services,NSE
ITC,ITC Limited,INE154A01025,289,INR,0.6968641114982579,12689243,0.6261685692166259,3587186470588,INR,18.245755809915842,15.8393,INR,-43.17943750896829,5.06461753405519,Consumer non-durables,NSE
ITC,ITC Limited,INE154A01025,286,INR,-0.10478519035976647,458891,0.37691859351493406,3587186470588,INR,18.05635350047035,15.8393,INR,-43.17943750896829,5.06461753405519,Consumer non-durables,BSE
ULTRACEMCO,UltraTech Cement Limited,INE481G01011,12050,INR,-0.03318400530944085,126569,0.35755873902836594,3518139735413,INR,41.53453743278643,290.12,INR,21.22969667922059,2.00836820083682,Non-energy minerals,NSE
ULTRACEMCO,UltraTech Cement Limited,INE481G01011,11955,INR,0.04184100418410042,16597,0.9413159252936472,3518139735413,INR,41.20708672273542,290.12,INR,21.22969667922059,2.00836820083682,Non-energy minerals,BSE
NTPC,NTPC Limited,INE733E01010,341.95,INR,-1.6254315304948315,201724,0.38525627571212806,3370561166215,INR,11.945016942047717,28.627,INR,15.859383853264466,2.54602991944764,Utilities,BSE
NTPC,NTPC Limited,INE733E01010,343.65,INR,-2.066115702479339,7201524,0.8380686020201168,3370561166215,INR,12.004401439200754,28.627,INR,15.859383853264466,2.54602991944764,Utilities,NSE
BAJAJFINSV,Bajaj Finserv Limited,INE918I01026,2076.4,INR,0.5520581113801497,76985,0.1973968285225789,3305135850830,INR,32.96396253373551,62.99,INR,6.402027027027025,0.062953995157385,Finance,BSE
BAJAJFINSV,Bajaj Finserv Limited,INE918I01026,2105,INR,0.42938931297709926,1959197,1.2387772000911508,3305135850830,INR,33.41800285759644,62.99,INR,6.402027027027025,0.062953995157385,Finance,NSE
BAJAJ_AUTO,Bajaj Auto Limited,INE917I01010,11600,INR,-2.1592442645074224,307958,0.5473914572890225,3216530939522,INR,27.587289394233068,420.4835,INR,54.740280052256786,1.30341276910043,Consumer durables,NSE
BAJAJ_AUTO,Bajaj Auto Limited,INE917I01010,11550.9,INR,0.3706036973475519,22593,0.6516754112451723,3216530939522,INR,27.470519057228167,420.4835,INR,54.740280052256786,1.30341276910043,Consumer durables,BSE
JSWSTEEL,JSW Steel Limited,INE019A01038,1300,INR,0.595836879981432,1475041,0.7845793747528337,3130181250000,INR,12.826837691169215,101.35,INR,411.822157581634,0.5546875,Non-energy minerals,NSE
JSWSTEEL,JSW Steel Limited,INE019A01038,1287.1,INR,0.5546874999999929,26021,0.3299029980462683,3130181250000,INR,12.69955599407992,101.35,INR,411.822157581634,0.5546875,Non-energy minerals,BSE
HAL,Hindustan Aeronautics Limited,INE066F01020,4635,INR,-1.1727078891257996,686746,1.0589599326085846,3116558556582,INR,34.00581950723477,136.3002,INR,8.982268618909625,1.07293834896247,Electronic technology,NSE
HAL,Hindustan Aeronautics Limited,INE066F01020,4638,INR,-0.4742387502414189,36304,0.7826836840289755,3116558556582,INR,34.02782974639803,136.3002,INR,8.982268618909625,1.07293834896247,Electronic technology,BSE
ONGC,Oil & Natural Gas Corp. Ltd.,INE213A01029,242,INR,0,10470809,0.9342215800413517,3029960345436,INR,7.349457597881413,32.9276,INR,14.57780932695854,5.60514843263442,Energy minerals,NSE
ONGC,Oil & Natural Gas Corp. Ltd.,INE213A01029,241.8,INR,0.39443637118539215,193755,0.25084440138159614,3029960345436,INR,7.343383665982338,32.9276,INR,14.57780932695854,5.60514843263442,Energy minerals,BSE
ETERNAL,Eternal Limited,INE758T01015,310.8,INR,0.25806451612903597,429461,0.16901330517212332,2991608681641,INR,657.6385950063478,0.4726,INR,42.178098676293644,0,Technology services,BSE
ETERNAL,Eternal Limited,INE758T01015,312.4,INR,0.6119162640901699,16096034,0.3543974082912389,2991608681641,INR,661.0241218789673,0.4726,INR,42.178098676293644,0,Technology services,NSE
NESTLEIND,Nestle India Ltd.,INE239A01024,1520,INR,-0.6535947712418301,4023569,1.2683949579556428,2925252840210,INR,76.9063412314122,19.7643,INR,22.64231728657059,0.791034937376401,Consumer non-durables,NSE
NESTLEIND,Nestle India Ltd.,INE239A01024,1492,INR,-1.6479894528675016,149092,0.7883039241241875,2925252840210,INR,75.48964547188618,19.7643,INR,22.64231728657059,0.791034937376401,Consumer non-durables,BSE
